0.703125;0.421875;0.705212;0.330115
0.705212;0.330115;0.875;0.375
0.875;0.375;0.703125;0.421875
0.25;0;0.3125;0.0833333
0.3125;0.0833333;0.15625;0.135417
0.15625;0.135417;0.25;0
0.5;0.5;0.513084;0.628267
0.513084;0.628267;0.38629;0.604883
0.38629;0.604883;0.5;0.5
0.309581;0.470547;0.236887;0.601126
0.236887;0.601126;0.163542;0.474771
0.163542;0.474771;0.309581;0.470547
0.5;0;0.515625;0.125
0.515625;0.125;0.407652;0.135417
0.407652;0.135417;0.5;0
0.65625;0.09375;0.515625;0.125
0.515625;0.125;0.625;0
0.625;0;0.65625;0.09375
0.890625;0.484375;0.703125;0.421875
0.875;0.375;0.890625;0.484375
0.513084;0.628267;0.437551;0.682381
0.437551;0.682381;0.38629;0.604883
1;0.25;0.875;0.375
0.875;0.375;0.875;0.25
0.875;0.25;1;0.25
0.75;0;0.875;0.125
0.875;0.125;0.75;0.125
0.75;0.125;0.75;0
0.0933588;0.5625;0;0.5
0;0.5;0.163542;0.474771
0.163542;0.474771;0.0933588;0.5625
0.222059;0.847059;0.25;0.75
0.25;0.75;0.320137;0.871181
0.320137;0.871181;0.222059;0.847059
0.625;1;0.54709;0.877411
0.54709;0.877411;0.67839;0.875
0.67839;0.875;0.625;1
0.84375;0.78125;0.75;0.75
0.75;0.75;0.875;0.6875
0.875;0.6875;0.84375;0.78125
0;0.375;0;0.25
0;0.25;0.107326;0.248989
0.107326;0.248989;0;0.375
0.5;0.25;0.625;0.1875
0.625;0.1875;0.613839;0.321429
0.613839;0.321429;0.5;0.25
0.65625;0.09375;0.75;0.125
0.75;0.125;0.625;0.1875
0.625;0.1875;0.65625;0.09375
0.875;0.25;0.875;0.125
0.875;0.125;1;0.25
0.875;0.375;1;0.375
1;0.375;0.890625;0.484375
1;0.5;0.890625;0.484375
1;0.375;1;0.5
1;0.125;1;0.25
0.875;0.125;1;0.125
0.875;0;1;0
1;0;0.875;0.125
0.875;0.125;0.875;0
0.75;0.25;0.875;0.125
0.875;0.25;0.75;0.25
0.875;0.375;0.75;0.25
1;0.25;1;0.375
0.671433;0.69826;0.8125;0.5625
0.8125;0.5625;0.75;0.75
0.75;0.75;0.671433;0.69826
0.875;0.6875;1;0.625
1;0.625;1;0.75
1;0.75;0.875;0.6875
0.75;0.125;0.75;0.25
0.75;0.25;0.625;0.1875
0.5;0.25;0.515625;0.125
0.515625;0.125;0.625;0.1875
0.625;0.1875;0.705212;0.330115
0.705212;0.330115;0.613839;0.321429
0.25;0;0.375;0
0.375;0;0.3125;0.0833333
0.65625;0.09375;0.75;0
0.375;0;0.407652;0.135417
0.407652;0.135417;0.3125;0.0833333
0.5;0;0.625;0
0.5;0.25;0.381582;0.292755
0.381582;0.292755;0.407652;0.135417
0.407652;0.135417;0.5;0.25
0.625;0;0.75;0
0.613839;0.321429;0.476906;0.375
0.476906;0.375;0.5;0.25
0.15625;0.135417;0.125;0
0.125;0;0.25;0
0.375;0;0.5;0
0.3125;0.0833333;0.3125;0.1875
0.3125;0.1875;0.15625;0.135417
0.407652;0.135417;0.3125;0.1875
0.212436;0.227274;0.15625;0.135417
0.3125;0.1875;0.212436;0.227274
0.212436;0.227274;0.107326;0.248989
0.107326;0.248989;0.15625;0.135417
0.0813802;0.0813802;0;0
0;0;0.125;0
0.125;0;0.0813802;0.0813802
0.476906;0.375;0.381582;0.292755
0.178385;0.329427;0.212436;0.227274
0.212436;0.227274;0.381582;0.292755
0.381582;0.292755;0.178385;0.329427
0.3125;0.1875;0.381582;0.292755
0.15625;0.135417;0.0813802;0.0813802
0.178385;0.329427;0.107326;0.248989
0.178385;0.329427;0.100088;0.394861
0.100088;0.394861;0.107326;0.248989
0;0.25;0;0.125
0;0.125;0.107326;0.248989
0.75;0;0.875;0
